vilref,new_km_N,new_km_E,lr_pop
25-334-6716,116.08316681476795,519.873635353151,625
25-334-19847,111.64526609749934,508.3132977142248,1409
25-334-9866,119.98555276536611,514.6387022046493,204
25-334-47665,139.3928480923464,513.4980333119704,344
25-334-27179,129.47203673714202,517.4122427888547,724
25-334-13171,134.798718503113,505.2321410544769,505
25-334-13790,111.44633837371781,522.9748215260282,706
25-334-20356,126.01387451849905,521.5457927639634,185
25-334-228,116.11052076672264,526.6229449209691,1080
25-334-21504,101.83564966886863,512.8347219208945,766
25-334-25537,130.83417458850226,509.73234715019834,436
25-334-18763,105.84311482515353,521.5466564355114,816
25-334-16461,108.04588632198434,520.172553032022,962
25-334-8598,125.33892131374373,493.80472801009114,808
25-334-24312,136.27494234925575,521.109638437739,149
25-334-9956,132.18752804072435,523.1958343516657,191
25-334-2199,135.82738276949206,519.3561212612675,611
25-334-10335,113.94878019784753,516.0134261494851,702
25-334-5738,135.67682483880793,526.4551353211754,726
25-334-29198,133.1781636421796,501.99273394631825,1551
25-334-14771,108.50567734370847,526.0836739192873,343
25-334-21344,108.36723965997385,523.8353804557514,775
25-334-17789,117.26839353788492,511.74042886519476,739
25-334-582,110.42223309933983,519.4362703431049,707
25-334-17159,105.31271502507042,515.1208967724216,1370
25-334-5796,120.2449705292305,512.4687774716767,882
25-334-4182,140.95180096390226,529.6183750127087,754
25-334-25795,134.8138410131495,502.81411819292504,557
25-334-35069,134.3345908793178,520.821171791358,727
25-334-6185,129.68341829269949,522.3959902588875,278
25-334-26484,137.85724615538743,522.8775723952589,104
25-334-35581,121.8340572258948,489.37554808659445,191
25-334-37478,92.14723571037358,523.9908405524826,207
25-334-10795,133.54822035808485,514.3191389962846,452
25-334-11213,137.53522564784203,515.7028461525163,877
25-334-32078,143.51262012453427,526.7537033631392,935
25-334-3505,123.12258403586581,516.4450076402154,757
25-334-3397,141.38668432202002,524.5311503560856,488
25-334-16000,93.74844265406605,527.0050289321782,916
25-334-14262,141.65210661190704,528.129169412965,565
25-334-21007,132.04842318749743,512.0746764946845,307
25-334-16784,113.62342384250317,510.91474122193483,1059
25-334-7033,128.28291819163297,514.3487633783307,266
25-334-22590,124.38598079243901,496.1911829280796,231
25-334-15255,100.92374007546393,526.6098172549972,465
25-334-45246,122.69581790743757,492.78121779225336,406
25-334-25198,137.71825249708883,527.6363650756829,1097
25-334-22942,131.34122345398401,524.6031801008244,502
25-334-20905,140.46587913445197,516.6444314953683,381
25-334-2814,117.16576062057483,522.3894263669918,968
25-334-22622,128.77484454705964,523.0313054702095,437
25-340-45269,83.5830024602111,626.6343842652651,155
25-340-17718,59.91849817166201,631.3497123589009,425
25-340-24256,89.14608464022061,627.9425243700081,1248
25-340-1622,77.51587367768265,619.9375024184692,1274
25-340-32748,85.43106214100642,588.4477653765346,5
25-340-31085,87.28356961895564,607.247501743852,881
25-340-6018,77.99323349776085,637.6906637412914,429
25-340-34191,78.9817563955783,584.1498971832601,336
25-340-15316,68.47383582775784,643.9463776790577,1008
25-340-28302,59.92183401952022,626.8830607392787,297
25-340-34826,69.87575491461185,623.7170527148268,227
25-340-36488,69.63555497521287,625.4137589875274,223
25-340-1316,74.51305468367045,641.9222528206992,1275
25-340-35723,88.19981581447138,625.5723267214877,237
25-340-1900,72.58938245263478,628.443156637584,771
25-340-3521,59.81397494063092,600.459282012002,219
25-340-25708,69.88601139608274,644.4730645579785,455
25-340-17717,74.09029157253177,606.7483971884952,1366
25-340-23135,78.3590648063764,594.8750555165885,903
25-340-23177,56.32023034546788,600.7815462508746,720
25-340-35087,72.57025692523665,620.7895785151371,1224
25-340-27847,65.84508796925722,625.9701447586381,400
25-340-13659,91.43625534938388,624.2487227065204,1756
25-340-8510,50.41444540146187,619.0545120272429,1691
25-340-23788,67.93893954319735,622.5858220383442,597
25-340-25,60.672955749018385,635.2298640041524,853
25-340-33270,68.22920698911206,634.543600294088,385
25-340-5774,75.54905781517861,623.5739238566293,336
25-340-35435,60.05637988073401,601.2046687953457,275
25-340-15423,55.55832270806332,618.4651023304739,1718
25-340-15947,78.39186730975014,630.1570272477569,669
25-340-46455,59.698332216867364,604.0775729573899,335
25-340-25627,75.60365452417471,630.8299151979159,246
25-340-29044,61.059358119062225,608.8441140949479,1182
25-340-5352,78.62826772386128,614.2630505283984,369
25-340-6149,52.45809695835313,625.0818796693842,266
25-340-45692,68.10689256979113,595.6176891128647,29
25-340-24451,77.6596487178385,608.817345632528,1517
25-340-29937,78.20227995985175,617.4177020517271,45
25-340-27058,70.12285658985653,639.6914118933457,1183
25-340-21517,85.24203076569965,606.3166453483507,394
25-340-36038,63.91538410347369,618.2062654521922,684
25-340-38487,61.688852314098604,624.4055213106236,430
25-340-24472,71.42717307940866,633.5938120815758,594
25-340-30409,85.52557782870166,614.6493744924396,1806
25-340-6148,69.87300158971344,644.4985354624133,514
25-340-11191,53.78431884842362,628.2572544575886,1467
25-340-23222,74.83307368250136,617.5308179603957,375
25-340-11319,78.9826459550325,638.8408448012624,600
25-340-20891,78.44802074779102,632.5058700059732,223
25-340-32505,78.39131133512255,604.8296885038355,897
25-340-35693,62.73840151137187,643.7227513914486,941
25-340-26099,88.20648751009244,596.9086594594344,1328
25-340-15927,56.38372264858232,622.6012271339496,580
25-340-1130,68.45860212283637,607.0852496555315,2138
25-340-36704,72.02381485260946,623.1369996456101,823
25-340-19679,68.36486479961847,591.7784318004394,909
